17:28:42.702454 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.754425 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.789872 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 115
17:28:42.790232 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 115 received: took 0.000314 seconds
17:28:42.806449 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.858414 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.876101 | INFO    | fractal/network/ringbuffer.c        | nack_missing_packets_up_to_index:401   | NACKing Frame ID 2745, Indices 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32
17:28:42.876144 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 20, but we had NACK'ed for it.
17:28:42.876209 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 21, but we had NACK'ed for it.
17:28:42.876294 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 22, but we had NACK'ed for it.
17:28:42.876349 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 23, but we had NACK'ed for it.
17:28:42.876414 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 24, but we had NACK'ed for it.
17:28:42.876447 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 25, but we had NACK'ed for it.
17:28:42.876521 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 26, but we had NACK'ed for it.
17:28:42.876578 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 27, but we had NACK'ed for it.
17:28:42.876728 | INFO    | fractal/network/ringbuffer.c        | nack_missing_packets_up_to_index:401   | NACKing Frame ID 2745, Indices 28, 29, 30, 31, 32
17:28:42.876764 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 28, but we had NACK'ed for it.
17:28:42.876773 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :448   | Can't nack anymore! Hit NACK bitrate limit. Try increasing NACK bitrate?
17:28:42.876785 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 29, but we had NACK'ed for it.
17:28:42.876932 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 30, but we had NACK'ed for it.
17:28:42.877022 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 31, but we had NACK'ed for it.
17:28:42.877107 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :277   | Received original ID 2745, Index 32, but we had NACK'ed for it.
17:28:42.882391 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :454   | NACKing is possible again.
17:28:42.910444 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:42.962432 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:43.014445 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:43.039858 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :247   | We received a packet with ID 2753, that will overwrite the frame with ID 2478!
17:28:43.039875 | INFO    | fractal/network/ringbuffer.c        | receive_packet                :250   | We can't overwrite that frame, since our renderer has only gotten to ID 2!
17:28:43.040923 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2478
17:28:43.040954 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2479
17:28:43.040973 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2480
17:28:43.040988 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2481
17:28:43.041009 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2482
17:28:43.041033 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2483
17:28:43.041057 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2484
17:28:43.041085 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2485
17:28:43.041105 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2486
17:28:43.041124 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2487
17:28:43.041147 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2488
17:28:43.041166 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2489
17:28:43.041181 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2490
17:28:43.041199 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2491
17:28:43.041229 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2492
17:28:43.041254 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2493
17:28:43.041285 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2494
17:28:43.041311 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2495
17:28:43.041342 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :448   | Can't nack anymore! Hit NACK bitrate limit. Try increasing NACK bitrate?
17:28:43.044800 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :454   | NACKing is possible again.
17:28:43.044854 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2496
17:28:43.044883 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2497
17:28:43.044907 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2498
17:28:43.044932 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2499
17:28:43.044965 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2500
17:28:43.044983 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2501
17:28:43.045009 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2502
17:28:43.045039 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2503
17:28:43.045057 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2504
17:28:43.045071 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2505
17:28:43.045129 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2506
17:28:43.045158 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2507
17:28:43.045181 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2508
17:28:43.045211 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2509
17:28:43.045236 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2510
17:28:43.045259 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2511
17:28:43.045291 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2512
17:28:43.045314 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2513
17:28:43.050449 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2514
17:28:43.050489 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2515
17:28:43.050502 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2516
17:28:43.050515 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2517
