20:51:14:358 | INFO    | win_clipboard.c | lclipboard_directory:62 | Directory: C:\ProgramData\FractalCache
20:51:24:263 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14192640
20:51:24:267 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14200832
20:51:24:267 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14196736
20:51:24:269 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14204928
20:51:24:269 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14200832
20:51:24:272 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14213120
20:51:24:272 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14209024
20:51:24:275 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14213120
20:51:24:275 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14209024
20:51:24:278 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14217216
20:51:24:278 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14213120
20:51:24:281 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14217216
20:51:24:281 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14213120
20:51:24:285 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14221312
20:51:24:285 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14217216
20:51:24:288 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14221312
20:51:24:288 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14217216
20:51:24:290 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14225408
20:51:24:290 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14221312
20:51:24:294 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14225408
20:51:24:294 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14221312
20:51:24:297 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14225408
20:51:24:297 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14221312
20:51:24:300 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14229504
20:51:24:300 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14225408
20:51:24:304 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14229504
20:51:24:304 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14225408
20:51:24:307 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14233600
20:51:24:307 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14229504
20:51:24:310 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14233600
20:51:24:310 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14229504
20:51:24:313 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14237696
20:51:24:313 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14233600
20:51:24:314 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14237696
20:51:24:314 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14233600
20:51:24:317 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14241792
20:51:24:317 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14237696
20:51:24:321 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14241792
20:51:24:321 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14237696
20:51:24:324 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14245888
20:51:24:324 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14241792
20:51:24:327 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14245888
20:51:24:327 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14241792
20:51:24:330 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14249984
20:51:24:330 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14245888
20:51:24:332 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14249984
20:51:24:332 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14245888
20:51:24:335 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14258176
20:51:24:335 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14254080
20:51:24:339 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14258176
20:51:24:339 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14254080
20:51:24:343 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14262272
20:51:24:343 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14258176
20:51:24:345 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14262272
20:51:24:345 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14258176
20:51:24:348 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14266368
20:51:24:348 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14262272
Ping Received - ID 2
20:51:24:351 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14270464
20:51:24:351 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14266368
20:51:24:354 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14270464
20:51:24:354 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14266368
20:51:24:358 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14270464
20:51:24:358 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14266368
20:51:24:361 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14274560
20:51:24:361 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14270464
20:51:24:364 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14274560
20:51:24:364 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14270464
20:51:24:368 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14278656
20:51:24:368 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14274560
20:51:24:371 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14278656
20:51:24:371 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14274560
20:51:24:372 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14282752
20:51:24:372 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14278656
20:51:24:375 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14282752
20:51:24:375 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14278656
20:51:24:379 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14286848
20:51:24:379 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14282752
20:51:24:382 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14286848
