22:03:43.655266 | INFO    | client/network.c                    | receive_tcp_pong              :241   | TCP Pong 106 received: took 0.012432 seconds
22:03:43.655530 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 422
22:03:43.690475 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 422 received: took 0.034820 seconds
22:03:43.903504 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9143, last_played_id 9143. Needs to catch up!
22:03:43.929185 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9146, last_played_id 9143
22:03:44.156261 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 423
22:03:44.172588 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 423 received: took 0.015812 seconds
22:03:44.657419 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 424
22:03:44.671490 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 424 received: took 0.013726 seconds
22:03:44.916103 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9187, last_played_id 9187. Needs to catch up!
22:03:44.979502 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9191, last_played_id 9187
22:03:45.158305 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 425
22:03:45.171617 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 425 received: took 0.013208 seconds
22:03:45.659445 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 426
22:03:45.669444 | INFO    | client/network.c                    | send_tcp_ping                 :203   | TCP Ping! 107
22:03:45.669594 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 99 over TCP
22:03:45.676779 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 426 received: took 0.017149 seconds
22:03:45.723085 | INFO    | client/network.c                    | receive_tcp_pong              :241   | TCP Pong 107 received: took 0.053193 seconds
22:03:45.994375 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9233, last_played_id 9233. Needs to catch up!
22:03:46.027765 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9236, last_played_id 9233
22:03:46.159951 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 427
22:03:46.187512 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 427 received: took 0.027361 seconds
22:03:46.248824 | WARNING | client/audio.c                      | flush_audio                   :273   | Audio queue full, skipping ID 9250 (Queued: 65536)
22:03:46.271572 | WARNING | client/audio.c                      | flush_audio                   :273   | Audio queue full, skipping ID 9251 (Queued: 49152)
22:03:46.295018 | WARNING | client/audio.c                      | flush_audio                   :273   | Audio queue full, skipping ID 9252 (Queued: 40960)
22:03:46.357089 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9252, last_played_id 9252. Needs to catch up!
22:03:46.420291 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9256, last_played_id 9252
22:03:46.660351 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 428
22:03:46.675525 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 428 received: took 0.014908 seconds
22:03:46.965026 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9278, last_played_id 9278. Needs to catch up!
22:03:47.080290 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9282, last_played_id 9278
22:03:47.163291 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 429
22:03:47.175648 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 429 received: took 0.011199 seconds
22:03:47.665018 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 430
22:03:47.679503 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 430 received: took 0.014326 seconds
22:03:47.693718 | INFO    | client/network.c                    | send_tcp_ping                 :203   | TCP Ping! 108
22:03:47.693787 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 99 over TCP
22:03:47.751834 | INFO    | client/network.c                    | receive_tcp_pong              :241   | TCP Pong 108 received: took 0.057912 seconds
22:03:48.052316 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9323, last_played_id 9323. Needs to catch up!
22:03:48.124188 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9327, last_played_id 9323
22:03:48.165248 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 431
22:03:48.203051 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 431 received: took 0.037656 seconds
22:03:48.502802 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9342, last_played_id 9342. Needs to catch up!
22:03:48.517576 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9344, last_played_id 9342
22:03:48.666228 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 432
22:03:48.679698 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 432 received: took 0.013076 seconds
22:03:49.119587 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9369, last_played_id 9369. Needs to catch up!
22:03:49.167100 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 433
22:03:49.173487 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9373, last_played_id 9369
22:03:49.184690 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 433 received: took 0.017104 seconds
22:03:49.667943 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 434
22:03:49.683456 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 434 received: took 0.015063 seconds
22:03:49.716373 | INFO    | client/network.c                    | send_tcp_ping                 :203   | TCP Ping! 109
22:03:49.716526 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 99 over TCP
22:03:49.740185 | INFO    | client/network.c                    | receive_tcp_pong              :241   | TCP Pong 109 received: took 0.023116 seconds
22:03:50.164641 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9414, last_played_id 9414. Needs to catch up!
22:03:50.169460 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 435
22:03:50.221234 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9418, last_played_id 9414
22:03:50.231751 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 435 received: took 0.061983 seconds
22:03:50.670355 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 436
22:03:50.699442 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 436 received: took 0.028878 seconds
22:03:51.170938 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 437
22:03:51.210149 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9459, last_played_id 9459. Needs to catch up!
22:03:51.272988 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9463, last_played_id 9459
22:03:51.283587 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 437 received: took 0.112398 seconds
22:03:51.671326 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 438
22:03:51.683583 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 438 received: took 0.012074 seconds
22:03:51.717269 | INFO    | client/network.c                    | send_tcp_ping                 :203   | TCP Ping! 110
22:03:51.717429 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 99 over TCP
22:03:51.747991 | INFO    | client/network.c                    | receive_tcp_pong              :241   | TCP Pong 110 received: took 0.030024 seconds
22:03:52.172188 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 439
22:03:52.254866 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9504, last_played_id 9504. Needs to catch up!
22:03:52.319926 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9508, last_played_id 9504
22:03:52.331630 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 439 received: took 0.159165 seconds
22:03:52.414002 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- update_video time (ms): avg 0.00, min 0.00, max 2.05 (8670 samples)
22:03:52.414048 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- update_audio time (ms): avg 0.00, min 0.00, max 0.24 (8670 samples)
22:03:52.414055 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- read_packet (udp) time (ms): avg 1.15, min 0.00, max 7.49 (8670 samples)
22:03:52.414063 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- receive_audio time (ms): avg 0.00, min 0.00, max 0.02 (431 samples)
22:03:52.414070 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- read_packet (tcp) time (ms): avg 1.20, min 0.09, max 6.72 (4077 samples)
22:03:52.414076 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- handle_server_message (udp) time (ms): avg 0.04, min 0.01, max 0.09 (21 samples)
22:03:52.414086 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- receive_video time (ms): avg 0.04, min 0.01, max 0.56 (89 samples)
22:03:52.414092 | INFO    | fractal/logging/log_statistic.c     | unsafe_print_statistics       :78    | STATISTIC -- handle_server_message (tcp) time (ms): avg 0.04, min 0.04, max 0.05 (5 samples)
22:03:52.672511 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 440
22:03:52.723529 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 440 received: took 0.050740 seconds
22:03:53.173438 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 441
22:03:53.187681 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 441 received: took 0.013750 seconds
22:03:53.322617 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9550, last_played_id 9550. Needs to catch up!
22:03:53.369004 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9553, last_played_id 9550
22:03:53.674912 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 442
22:03:53.719813 | INFO    | client/network.c                    | send_tcp_ping                 :203   | TCP Ping! 111
22:03:53.719975 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 99 over TCP
22:03:53.771687 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 442 received: took 0.096648 seconds
22:03:53.788240 | INFO    | client/network.c                    | receive_tcp_pong              :241   | TCP Pong 111 received: took 0.067715 seconds
22:03:54.175512 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 443
22:03:54.188177 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 443 received: took 0.012588 seconds
22:03:54.367507 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9595, last_played_id 9595. Needs to catch up!
22:03:54.417806 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9598, last_played_id 9595
22:03:54.677680 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 444
22:03:54.691433 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 444 received: took 0.013210 seconds
22:03:55.178471 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 445
22:03:55.223449 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 445 received: took 0.044735 seconds
22:03:55.413363 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9640, last_played_id 9640. Needs to catch up!
22:03:55.465082 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9643, last_played_id 9640
22:03:55.679887 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 446
22:03:55.692138 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 446 received: took 0.012041 seconds
22:03:55.721092 | INFO    | client/network.c                    | send_tcp_ping                 :203   | TCP Ping! 112
22:03:55.722011 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 99 over TCP
22:03:55.752723 | INFO    | client/network.c                    | receive_tcp_pong              :241   | TCP Pong 112 received: took 0.030343 seconds
22:03:56.181000 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 447
22:03:56.195460 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 447 received: took 0.014372 seconds
22:03:56.490030 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9686, last_played_id 9686. Needs to catch up!
22:03:56.513036 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9689, last_played_id 9686
22:03:56.681526 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 448
22:03:56.695536 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 448 received: took 0.013680 seconds
22:03:57.184253 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 449
22:03:57.199561 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 449 received: took 0.014021 seconds
22:03:57.524123 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9731, last_played_id 9731. Needs to catch up!
22:03:57.563005 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9734, last_played_id 9731
22:03:57.685698 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 450
22:03:57.707545 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 450 received: took 0.021013 seconds
22:03:57.734745 | INFO    | client/network.c                    | send_tcp_ping                 :203   | TCP Ping! 113
22:03:57.734913 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 99 over TCP
22:03:57.762398 | INFO    | client/network.c                    | receive_tcp_pong              :241   | TCP Pong 113 received: took 0.027145 seconds
22:03:58.186645 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 451
22:03:58.199427 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 451 received: took 0.012526 seconds
22:03:58.569969 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9776, last_played_id 9776. Needs to catch up!
22:03:58.612913 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9779, last_played_id 9776
22:03:58.688035 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 452
22:03:58.703403 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 452 received: took 0.015194 seconds
22:03:59.112899 | WARNING | client/audio.c                      | flush_audio                   :273   | Audio queue full, skipping ID 9805 (Queued: 65536)
22:03:59.136244 | WARNING | client/audio.c                      | flush_audio                   :273   | Audio queue full, skipping ID 9806 (Queued: 49152)
22:03:59.159197 | WARNING | client/audio.c                      | flush_audio                   :273   | Audio queue full, skipping ID 9807 (Queued: 40960)
22:03:59.186332 | WARNING | client/audio.c                      | flush_audio                   :273   | Audio queue full, skipping ID 9808 (Queued: 32768)
22:03:59.188978 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 453
22:03:59.203449 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 453 received: took 0.014263 seconds
22:03:59.273280 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9810, last_played_id 9810. Needs to catch up!
22:03:59.279729 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9812, last_played_id 9810
22:03:59.508635 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9820, last_played_id 9820. Needs to catch up!
22:03:59.660165 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9824, last_played_id 9820
22:03:59.689297 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 454
22:03:59.727126 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 454 received: took 0.036782 seconds
22:03:59.736123 | INFO    | client/network.c                    | send_tcp_ping                 :203   | TCP Ping! 114
22:03:59.736257 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 99 over TCP
22:03:59.768404 | INFO    | client/network.c                    | receive_tcp_pong              :241   | TCP Pong 114 received: took 0.031877 seconds
22:03:59.901474 | WARNING | client/audio.c                      | flush_audio                   :273   | Audio queue full, skipping ID 9839 (Queued: 65536)
22:03:59.924148 | WARNING | client/audio.c                      | flush_audio                   :273   | Audio queue full, skipping ID 9840 (Queued: 49152)
22:03:59.953033 | WARNING | client/audio.c                      | flush_audio                   :273   | Audio queue full, skipping ID 9841 (Queued: 40960)
22:04:00.010136 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9841, last_played_id 9841. Needs to catch up!
22:04:00.052834 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9844, last_played_id 9841
22:04:00.190806 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 455
22:04:00.203356 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 455 received: took 0.012247 seconds
22:04:00.618188 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9867, last_played_id 9867. Needs to catch up!
22:04:00.691630 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 456
22:04:00.708767 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9871, last_played_id 9867
22:04:00.719784 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 456 received: took 0.028005 seconds
22:04:01.087340 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9886, last_played_id 9886. Needs to catch up!
22:04:01.101440 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9888, last_played_id 9886
22:04:01.191955 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 457
22:04:01.203828 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 457 received: took 0.011449 seconds
22:04:01.685517 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9912, last_played_id 9912. Needs to catch up!
22:04:01.692405 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 458
