21:55:56:419 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 26.152200ms total!
21:55:56:469 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.876700ms total!
21:55:56:519 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 28.023800ms total!
21:55:56:531 | INFO    | main.c          | update:212 | Ping! 19
21:55:56:554 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.023543
21:55:56:586 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.123300ms total!
21:55:56:687 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 75.988600ms total!
21:55:56:791 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 78.778100ms total!
21:55:56:887 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 75.753900ms total!
21:55:56:987 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 76.353700ms total!
21:55:57:032 | INFO    | main.c          | update:212 | Ping! 20
21:55:57:054 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 45.905600ms total!
21:55:57:054 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.022700
21:55:57:089 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 32.410200ms total!
21:55:57:191 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 79.704000ms total!
21:55:57:289 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 75.834100ms total!
21:55:57:371 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 26.936700ms total!
21:55:57:419 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 28.615800ms total!
21:55:57:469 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.017100ms total!
21:55:57:523 | INFO    | main.c          | ReceivePackets:300 | world_time: 5.001507
21:55:57:523 | INFO    | main.c          | ReceivePackets:301 | recvfrom_time: 9.207229
21:55:57:523 | INFO    | main.c          | ReceivePackets:302 | update_video_time: 0.010361
21:55:57:523 | INFO    | main.c          | ReceivePackets:303 | update_audio_time: 0.062321
21:55:57:523 | INFO    | main.c          | ReceivePackets:304 | hash_time: 0.000000
21:55:57:523 | INFO    | main.c          | ReceivePackets:305 | video_time: 0.020873
21:55:57:523 | INFO    | main.c          | ReceivePackets:306 | max_video_time: 0.000962
21:55:57:523 | INFO    | main.c          | ReceivePackets:307 | audio_time: 0.000000
21:55:57:523 | INFO    | main.c          | ReceivePackets:308 | max_audio_time: 0.000000
21:55:57:523 | INFO    | main.c          | ReceivePackets:309 | message_time: 0.000363
21:55:57:532 | INFO    | main.c          | update:212 | Ping! 21
21:55:57:557 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 67.868800ms total!
21:55:57:557 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.025596
21:55:57:619 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 27.421500ms total!
21:55:57:669 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.904700ms total!
21:55:57:719 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 28.999000ms total!
21:55:57:771 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 28.711200ms total!
21:55:57:824 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 33.028100ms total!
21:55:57:869 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 25.482600ms total!
21:55:57:919 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 28.018700ms total!
21:55:57:969 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.131200ms total!
21:55:58:024 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 35.252400ms total!
21:55:58:032 | INFO    | main.c          | update:212 | Ping! 22
21:55:58:057 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.025530
21:55:58:107 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 46.098200ms total!
21:55:58:154 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 27.429500ms total!
21:55:58:204 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 32.624000ms total!
21:55:58:255 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 30.986100ms total!
21:55:58:305 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 30.307500ms total!
21:55:58:354 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.294400ms total!
21:55:58:405 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 27.837700ms total!
21:55:58:454 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 31.064700ms total!
21:55:58:501 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 27.318100ms total!
21:55:58:532 | INFO    | main.c          | update:212 | Ping! 23
21:55:58:557 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 35.158900ms total!
21:55:58:559 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.027517
21:55:58:607 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 31.124200ms total!
21:55:58:655 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 26.463900ms total!
21:55:58:667 | INFO    | video.c         | updateVideo:497 | MBPS: 13353443.750000 0.000000
21:55:58:668 | INFO    | video.c         | updateVideo:529 | MBPS2: 13687279.843750
21:55:58:668 | INFO    | video.c         | updateVideo:535 | MBPS3: 13750000
21:55:58:668 | INFO    | main.c          | update:161 | Asking for server MBPS to be 13.113022
21:55:58:687 | INFO    | video.c         | RenderScreen:226 | Late! Rendering ID 140 (Age 0.032222) (Packets 51) 
21:55:58:771 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 28.565600ms total!
21:55:58:819 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 27.984100ms total!
21:55:58:858 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 20.525800ms total!
21:55:58:905 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 30.317600ms total!
21:55:58:951 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 28.215500ms total!
